match,quota1,quota2,bookie,pick,confidence,probability
Como vs Inter Milan,3.3,2.25,FanDuel,✅ VISITA FAVORITA,MEDIA,44
Fiorentina vs Lazio,2.35,3.45,Bovada,✅ LOCAL FAVORITO,MEDIA,43
Sassuolo vs Como,4.8,1.61,FanDuel,✅ VISITA FAVORITA,MEDIA,62
Inter Milan vs Cagliari,1.18,12.0,FanDuel,🔥 LOCAL IMPERDIBLE,ALTA,85
Udinese vs Parma,2.2,3.4,FanDuel,✅ LOCAL FAVORITO,MEDIA,45
Napoli vs Lazio,1.59,5.9,FanDuel,✅ LOCAL FAVORITO,MEDIA,63
AS Roma vs Atalanta BC,2.1,3.4,FanDuel,✅ LOCAL FAVORITO,MEDIA,48
Cremonese vs Torino,2.8,2.5,FanDuel,⚖️ EMPATE / AMBOS ANOTAN,MEDIA,33
Hellas Verona vs AC Milan,5.7,1.59,FanDuel,✅ VISITA FAVORITA,MEDIA,63
Pisa vs Genoa,3.5,2.1,FanDuel,✅ VISITA FAVORITA,MEDIA,48
Juventus vs Bologna,1.42,6.5,FanDuel,🔥 LOCAL IMPERDIBLE,ALTA,70
Lecce vs Fiorentina,3.4,2.1,FanDuel,✅ VISITA FAVORITA,MEDIA,48
Napoli vs Cremonese,1.28,10.0,FanDuel,🔥 LOCAL IMPERDIBLE,ALTA,78
Parma vs Pisa,2.1,3.6,FanDuel,✅ LOCAL FAVORITO,MEDIA,48
Bologna vs AS Roma,3.3,2.15,FanDuel,✅ VISITA FAVORITA,MEDIA,47
Hellas Verona vs Lecce,2.3,3.3,FanDuel,✅ LOCAL FAVORITO,MEDIA,43
Fiorentina vs Sassuolo,1.69,4.6,FanDuel,✅ LOCAL FAVORITO,MEDIA,59
Genoa vs Como,5.3,1.67,FanDuel,✅ VISITA FAVORITA,MEDIA,60
Torino vs Inter Milan,8.0,1.32,FanDuel,🚀 VISITA IMPERDIBLE,ALTA,76
AC Milan vs Juventus,2.8,2.35,FanDuel,⚖️ EMPATE / AMBOS ANOTAN,MEDIA,33
Cagliari vs Atalanta BC,5.5,1.59,FanDuel,✅ VISITA FAVORITA,MEDIA,63
Lazio vs Udinese,2.05,3.7,FanDuel,✅ LOCAL FAVORITO,MEDIA,49
