match,quota1,quota2,bookie
Barcelona vs Rayo Vallecano,1.19,11.0,Parions Sport (FR)
Celta Vigo vs Alavés,1.9,4.25,Parions Sport (FR)
Athletic Bilbao vs Real Betis,2.15,3.3,Parions Sport (FR)
Real Madrid vs Atlético Madrid,1.87,3.95,Unibet (NL)
Rayo Vallecano vs Elche CF,1.68,3.7,Winamax (FR)
Real Sociedad vs Levante,1.42,4.7,Winamax (FR)
Mallorca vs Real Madrid,4.3,1.47,Winamax (FR)
Real Betis vs Espanyol,1.68,4.12,Pinnacle
Atlético Madrid vs Barcelona,2.4,2.05,Winamax (FR)
Getafe vs Athletic Bilbao,2.94,2.81,1xBet
Valencia vs Celta Vigo,2.1,2.6,Winamax (FR)
Oviedo vs Sevilla,2.65,2.35,Parions Sport (FR)
Alavés vs CA Osasuna,2.69,2.94,Pinnacle
Girona vs Villarreal,2.92,2.43,1xBet
